[2025-11-08 14:08:45] [INFO    ] discord.client: logging in using static token
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1435931107521593344', 'username': 'Infector', 'avatar': None, 'discriminator': '5840', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-08 14:08:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1435931107521593344', 'name': 'Infector', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1435931107521593344', 'username': 'Infector', 'avatar': None, 'discriminator': '5840', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'bfcd55c039ec91bee25702acb8cc574a761b98f62ea5c80621e463aa332c3255', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '927839054639267891', 'username': 'iaminfinityiq', 'avatar': '6b893e5dee1c55cd0e5b3029fa5b75ce', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 1463762, 'global_name': 'Infinity', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#1655d2', 'clan': {'identity_guild_id': '655972529030037504', 'identity_enabled': True, 'tag': 'y=x²', 'badge': 'f274ca213f8577a52c9274edfa07e046'}, 'primary_guild': {'identity_guild_id': '655972529030037504', 'identity_enabled': True, 'tag': 'y=x²', 'badge': 'f274ca213f8577a52c9274edfa07e046'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-08 14:08:47] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-08 14:08:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-gfbg",{"micros":0.0}]']}}
[2025-11-08 14:08:47] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-08 14:08:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-08 14:08:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Infector', 'primary_guild': None, 'mfa_enabled': False, 'id': '1435931107521593344', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5840', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '9f5ffdbcd2aaccd94da0a6518d1ea86a', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1435599102279946372'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1435931107521593344', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-gfbg",{"micros":202489,"calls":["id_created",{"micros":461,"calls":[]},"session_lookup_time",{"micros":6445,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-7",{"micros":195300,"calls":["start_session",{"micros":162431,"calls":["discord-api-rpc-6f9fbfb89-xmb7r",{"micros":71916,"calls":["get_user",{"micros":6857},"get_guilds",{"micros":11035},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":175},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":59008},"apex_experiments",{"micros":8684},"user_activities",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":69,"calls":[]},"presence_started",{"micros":19430,"calls":[]},"guilds_started",{"micros":81,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":13263,"calls":[]},"connect_finished",{"micros":13271,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-08 14:08:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-08 14:08:47] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9f5ffdbcd2aaccd94da0a6518d1ea86a).
[2025-11-08 14:08:47] [DEBUG   ] discord.client: Dispatching event connect
